timestamp,combined_mb,renderer_mb,gpu_mb,renderer_anon_mb,vram_mb
2026-05-11 13:11:41,6106,2778,561,2483,2767
2026-05-11 13:11:41,6106,2778,561,2483,2767
2026-05-11 13:11:42,6106,2778,561,2483,2767
2026-05-11 13:11:42,6106,2778,561,2483,2767
2026-05-11 13:11:42,6106,2778,561,2483,2767
2026-05-11 13:11:42,6106,2778,561,2483,2767
2026-05-11 13:11:43,6106,2778,561,2483,2767
2026-05-11 13:11:43,6106,2778,561,2483,2767
2026-05-11 13:11:43,6106,2778,561,2483,2767
2026-05-11 13:11:44,6106,2778,561,2483,2767
2026-05-11 13:11:44,6106,2778,561,2483,2767
2026-05-11 13:11:44,6106,2778,561,2483,2767
2026-05-11 13:11:45,6106,2778,561,2483,2767
2026-05-11 13:11:45,6106,2778,561,2483,2767
2026-05-11 13:11:45,6106,2778,561,2483,2767
2026-05-11 13:11:46,6102,2778,557,2483,2767
2026-05-11 13:11:46,6102,2778,557,2483,2767
2026-05-11 13:11:46,6102,2778,557,2483,2767
2026-05-11 13:11:47,6102,2778,557,2483,2767
2026-05-11 13:11:47,6102,2778,557,2483,2767
2026-05-11 13:11:47,6101,2778,556,2483,2767
2026-05-11 13:11:48,6101,2778,556,2483,2767
2026-05-11 13:11:48,6101,2778,556,2483,2767
2026-05-11 13:11:48,6101,2778,556,2483,2767
2026-05-11 13:11:49,6101,2778,556,2483,2767
2026-05-11 13:11:49,6101,2778,556,2483,2767
2026-05-11 13:11:49,6101,2778,556,2483,2767
2026-05-11 13:11:49,6101,2778,556,2483,2767
2026-05-11 13:11:50,6101,2778,556,2483,2767
2026-05-11 13:11:50,6101,2778,556,2483,2767
2026-05-11 13:11:50,6101,2778,556,2483,2767
2026-05-11 13:11:51,6101,2778,556,2483,2767
2026-05-11 13:11:51,6101,2778,556,2483,2767
2026-05-11 13:11:51,6101,2778,556,2483,2767
2026-05-11 13:11:52,6101,2778,556,2483,2767
2026-05-11 13:11:52,6101,2778,556,2483,2767
2026-05-11 13:11:52,6101,2778,556,2483,2767
2026-05-11 13:11:53,6101,2778,556,2483,2767
2026-05-11 13:11:53,6101,2778,556,2483,2767
2026-05-11 13:11:53,6101,2778,556,2483,2767
2026-05-11 13:11:54,6100,2777,556,2483,2767
2026-05-11 13:11:54,6100,2777,556,2483,2767
2026-05-11 13:11:54,6100,2777,556,2483,2767
2026-05-11 13:11:55,6100,2777,556,2483,2767
2026-05-11 13:11:55,6100,2777,556,2483,2767
2026-05-11 13:11:55,6100,2777,556,2483,2767
2026-05-11 13:11:55,6100,2777,556,2483,2767
2026-05-11 13:11:56,6100,2777,556,2483,2767
2026-05-11 13:11:56,6100,2777,556,2483,2767
2026-05-11 13:11:56,6100,2777,556,2483,2767
2026-05-11 13:11:57,6100,2777,556,2483,2767
2026-05-11 13:11:57,6100,2777,556,2483,2767
2026-05-11 13:11:57,6100,2777,556,2483,2767
2026-05-11 13:11:58,6100,2777,556,2483,2767
2026-05-11 13:11:58,6100,2777,556,2483,2767
2026-05-11 13:11:58,6100,2777,556,2483,2767
2026-05-11 13:11:59,6100,2777,556,2483,2767
2026-05-11 13:11:59,6100,2777,556,2483,2767
2026-05-11 13:11:59,6100,2777,556,2483,2767
2026-05-11 13:12:00,6100,2777,556,2483,2767
2026-05-11 13:12:00,6100,2777,556,2483,2767
2026-05-11 13:12:00,6100,2777,556,2483,2767
2026-05-11 13:12:01,6100,2777,556,2483,2767
2026-05-11 13:12:01,6101,2778,556,2483,2767
2026-05-11 13:12:01,6101,2778,556,2483,2767
2026-05-11 13:12:02,6101,2778,556,2483,2767
2026-05-11 13:12:02,6101,2778,556,2483,2767
2026-05-11 13:12:02,6101,2778,556,2483,2767
2026-05-11 13:12:02,6101,2778,556,2483,2767
2026-05-11 13:12:03,6101,2778,556,2483,2767
2026-05-11 13:12:03,6101,2778,556,2483,2767
2026-05-11 13:12:03,6101,2778,556,2483,2767
2026-05-11 13:12:04,6101,2778,556,2483,2767
2026-05-11 13:12:04,6101,2778,556,2483,2767
2026-05-11 13:12:04,6101,2778,556,2483,2767
2026-05-11 13:12:05,6101,2778,556,2483,2767
2026-05-11 13:12:05,6101,2778,556,2483,2767
2026-05-11 13:12:05,6101,2778,556,2483,2767
2026-05-11 13:12:06,6101,2778,556,2483,2767
2026-05-11 13:12:06,6101,2778,556,2483,2767
2026-05-11 13:12:06,6101,2778,556,2483,2767
2026-05-11 13:12:07,6101,2778,556,2483,2767
2026-05-11 13:12:07,6101,2778,556,2483,2767
2026-05-11 13:12:07,6101,2778,556,2483,2767
2026-05-11 13:12:08,6101,2778,556,2483,2767
2026-05-11 13:12:08,6101,2778,556,2483,2767
2026-05-11 13:12:08,6101,2778,556,2483,2767
2026-05-11 13:12:09,6101,2778,556,2483,2767
2026-05-11 13:12:09,6101,2778,556,2483,2767
2026-05-11 13:12:09,6101,2778,556,2483,2767
2026-05-11 13:12:09,6101,2778,556,2483,2767
2026-05-11 13:12:10,6101,2778,556,2483,2767
2026-05-11 13:12:10,6101,2778,556,2483,2767
2026-05-11 13:12:10,6100,2777,556,2482,2767
2026-05-11 13:12:11,6100,2777,556,2482,2767
2026-05-11 13:12:11,6100,2777,556,2482,2767
2026-05-11 13:12:11,6100,2777,556,2482,2767
