timestamp,r21672_ws_mb,r21672_priv_mb,r9092_ws_mb,r9092_priv_mb,r17084_ws_mb,r17084_priv_mb,r16948_ws_mb,r16948_priv_mb,gpu_ws_mb,gpu_vram_mb
2026-05-12 14:21:26,103,53,82,30,0,0,2939,3387,1897,6669
2026-05-12 14:21:27,103,53,82,30,0,0,2939,3387,1897,6669
2026-05-12 14:21:29,103,53,82,30,0,0,2939,3387,1897,6669
2026-05-12 14:21:30,103,53,82,30,0,0,2939,3387,1897,6669
2026-05-12 14:21:31,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:32,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:34,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:35,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:36,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:38,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:39,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:40,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:41,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:43,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:44,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:45,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:47,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:48,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:49,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:50,103,53,82,30,0,0,2937,3385,1897,6669
2026-05-12 14:21:52,103,53,82,30,0,0,2938,3386,1897,6669
2026-05-12 14:21:53,103,52,82,30,0,0,2938,3386,1897,6669
2026-05-12 14:21:54,103,52,82,30,0,0,2938,3386,1897,6669
2026-05-12 14:21:56,103,52,82,30,0,0,2938,3386,1897,6669
2026-05-12 14:21:57,103,52,82,30,0,0,2938,3386,1897,6669
2026-05-12 14:21:58,103,52,82,30,0,0,2938,3386,1897,6669
2026-05-12 14:21:59,103,52,82,30,0,0,2938,3386,1897,6669
2026-05-12 14:22:01,103,52,82,30,0,0,2938,3386,1897,6669
2026-05-12 14:22:02,103,52,82,30,0,0,2938,3386,1897,6669
2026-05-12 14:22:03,103,52,82,30,0,0,2938,3386,1897,6669
2026-05-12 14:22:05,103,52,82,30,0,0,2938,3386,1897,6669
2026-05-12 14:22:06,103,52,82,30,0,0,2938,3386,1897,6669
2026-05-12 14:22:07,103,52,82,30,0,0,2938,3386,1897,6669
2026-05-12 14:22:08,103,52,82,30,0,0,2938,3386,1897,6669
2026-05-12 14:22:10,103,52,82,30,0,0,2938,3386,1897,6669
2026-05-12 14:22:11,103,52,82,30,0,0,2938,3386,1892,6669
2026-05-12 14:22:12,103,52,82,30,0,0,2938,3386,1887,6669
2026-05-12 14:22:14,103,52,82,30,0,0,2938,3386,1875,6669
2026-05-12 14:22:15,103,52,82,30,0,0,2938,3386,1870,6669
2026-05-12 14:22:16,103,52,82,30,0,0,2938,3386,1864,6669
2026-05-12 14:22:17,103,52,82,30,0,0,2938,3386,1853,6669
2026-05-12 14:22:19,103,52,82,30,0,0,2938,3386,1849,6669
2026-05-12 14:22:20,103,52,82,30,0,0,2938,3386,1844,6669
2026-05-12 14:22:21,103,52,82,30,0,0,2938,3386,1838,6669
2026-05-12 14:22:23,103,52,82,30,0,0,2938,3386,1827,6669
2026-05-12 14:22:24,103,52,82,30,0,0,2938,3386,1821,6669
2026-05-12 14:22:25,103,52,82,30,0,0,2938,3386,1816,6669
2026-05-12 14:22:27,103,52,82,30,0,0,2938,3386,1805,6669
2026-05-12 14:22:28,103,52,82,30,0,0,2938,3386,1800,6669
2026-05-12 14:22:29,103,52,82,30,0,0,2938,3386,1794,6669
2026-05-12 14:22:30,102,52,82,30,0,0,2938,3386,1789,6669
2026-05-12 14:22:32,102,52,82,30,0,0,2938,3386,1778,6669
2026-05-12 14:22:33,102,52,82,30,0,0,2938,3386,1773,6669
2026-05-12 14:22:34,102,52,82,30,0,0,2938,3386,1767,6669
2026-05-12 14:22:36,102,52,82,30,0,0,2938,3386,1757,6669
2026-05-12 14:22:37,102,52,82,30,0,0,2938,3386,1752,6669
2026-05-12 14:22:38,102,52,82,30,0,0,2938,3386,1746,6669
2026-05-12 14:22:39,102,52,82,30,0,0,2938,3386,1741,6669
2026-05-12 14:22:41,102,52,82,30,0,0,2938,3386,1730,6669
2026-05-12 14:22:42,101,52,82,30,0,0,2938,3386,1728,6669
2026-05-12 14:22:43,101,52,82,30,0,0,2938,3386,1723,6669
2026-05-12 14:22:45,101,52,82,30,0,0,2938,3386,1712,6669
2026-05-12 14:22:46,100,52,82,30,0,0,2938,3386,1707,6669
2026-05-12 14:22:47,100,52,82,30,0,0,2938,3386,1702,6669
2026-05-12 14:22:48,100,52,82,30,0,0,2938,3386,1697,6669
2026-05-12 14:22:50,100,52,82,30,0,0,2938,3386,1687,6669
2026-05-12 14:22:51,100,52,82,30,0,0,2938,3386,1682,6669
2026-05-12 14:22:52,100,52,82,30,0,0,2938,3386,1677,6669
2026-05-12 14:22:54,100,52,82,30,0,0,2938,3386,1667,6669
2026-05-12 14:22:55,100,52,82,30,0,0,2938,3386,1661,6669
2026-05-12 14:22:56,100,52,82,30,0,0,2938,3386,1657,6669
2026-05-12 14:22:57,100,52,82,30,0,0,2938,3386,1652,6669
2026-05-12 14:22:59,100,52,82,30,0,0,2938,3386,1642,6669
2026-05-12 14:23:00,100,52,82,30,0,0,2938,3386,1637,6669
2026-05-12 14:23:01,100,52,82,30,0,0,2938,3386,1636,6669
2026-05-12 14:23:03,100,52,82,30,0,0,2941,3388,1626,6680
2026-05-12 14:23:04,100,52,82,30,0,0,2946,3392,1625,6678
2026-05-12 14:23:05,100,52,82,30,0,0,2949,3394,1621,6678
2026-05-12 14:23:06,100,52,82,30,0,0,2945,3392,1608,6679
2026-05-12 14:23:08,100,52,82,30,0,0,2945,3392,1603,6679
2026-05-12 14:23:09,100,52,82,30,0,0,2945,3392,1598,6679
2026-05-12 14:23:10,100,52,82,30,0,0,2945,3392,1593,6679
2026-05-12 14:23:12,100,52,82,30,0,0,2945,3392,1583,6679
2026-05-12 14:23:13,100,52,82,30,0,0,2945,3392,1578,6679
2026-05-12 14:23:14,100,52,82,30,0,0,2945,3392,1574,6679
2026-05-12 14:23:15,100,52,82,30,0,0,2945,3392,1569,6679
2026-05-12 14:23:17,100,52,82,30,0,0,2945,3392,1559,6679
2026-05-12 14:23:18,100,52,82,30,0,0,2945,3392,1555,6679
2026-05-12 14:23:19,100,52,82,30,0,0,2945,3392,1550,6679
2026-05-12 14:23:20,100,52,82,30,0,0,2945,3392,1541,6679
2026-05-12 14:23:22,100,52,82,30,0,0,2945,3392,1536,6679
2026-05-12 14:23:23,100,52,82,30,0,0,2945,3392,1531,6679
2026-05-12 14:23:24,100,52,82,30,0,0,2945,3392,1527,6679
2026-05-12 14:23:26,100,52,82,30,0,0,2945,3392,1518,6679
2026-05-12 14:23:27,100,52,82,30,0,0,2945,3392,1513,6679
2026-05-12 14:23:28,100,52,82,30,0,0,2945,3392,1508,6679
2026-05-12 14:23:29,100,52,82,30,0,0,2945,3392,1499,6679
2026-05-12 14:23:31,100,52,82,30,0,0,2945,3392,1495,6679
2026-05-12 14:23:32,100,52,82,30,0,0,2945,3392,1490,6679
2026-05-12 14:23:33,100,52,82,30,0,0,2945,3392,1486,6679
2026-05-12 14:23:35,100,52,82,30,0,0,2945,3392,1477,6679
2026-05-12 14:23:36,100,52,82,30,0,0,2945,3392,1472,6679
2026-05-12 14:23:37,100,52,82,30,0,0,2945,3392,1468,6679
2026-05-12 14:23:38,100,52,82,30,0,0,2945,3392,1459,6679
2026-05-12 14:23:40,100,52,81,30,0,0,2945,3392,1458,6679
2026-05-12 14:23:41,100,52,81,30,0,0,2945,3392,1454,6679
2026-05-12 14:23:42,100,52,81,30,0,0,2945,3392,1449,6679
2026-05-12 14:23:44,100,52,81,30,0,0,2945,3392,1441,6679
2026-05-12 14:23:45,100,52,81,30,0,0,2945,3392,1436,6679
2026-05-12 14:23:46,100,52,81,30,0,0,2945,3392,1432,6679
2026-05-12 14:23:47,100,52,81,30,0,0,2945,3392,1423,6679
2026-05-12 14:23:49,100,52,81,30,0,0,2945,3392,1419,6679
